date,factor_return,gross_weight,net_weight,n_stocks,split
1967-01-01,0.10282488965311146,1.0,0.49810943471748265,430,train
1967-02-01,0.02028274861444766,1.0,0.2348977701026677,430,train
1967-03-01,0.03822528056587663,1.0,0.3900332648101281,431,train
1967-04-01,0.017813567097751434,1.0,0.45286675696158446,436,train
1967-05-01,0.005477480983361141,1.0,0.4093239624847745,435,train
1967-06-01,0.04055452760462726,1.0,0.4409422607266136,437,train
1967-07-01,0.04797069621023168,1.0,0.4640795941703956,553,train
1967-08-01,0.015736815834713824,1.0,0.4177363331694392,762,train
1967-09-01,0.045387307679484006,1.0,0.41226815850777804,767,train
1967-10-01,0.010096956699993468,1.0,0.4534784750493455,774,train
1967-11-01,0.0026882590522957117,1.0,0.4670406247560515,776,train
1967-12-01,0.0592713622021465,1.0,0.42884708854283304,778,train
1968-01-01,0.049736777376661975,1.0,0.4732432204085879,780,train
1968-02-01,-0.020915692488989324,1.0,0.3397305652814354,783,train
1968-03-01,0.002231035689198716,1.0,0.3178935381810491,778,train
1968-04-01,0.07249496421842239,0.9999999999999999,0.37367674688059127,782,train
1968-05-01,0.04886192497681897,1.0,0.3925863569504995,791,train
1968-06-01,0.0321162220997571,1.0,0.38649344767063387,799,train
1968-07-01,0.01921834308497301,1.0,0.22278713452782622,902,train
1968-08-01,0.028804630070774658,1.0,0.1396703392714693,903,train
1968-09-01,0.027573792391298067,1.0,0.1761427719899827,907,train
1968-10-01,0.018724396922915047,1.0,0.16056808550976698,917,train
1968-11-01,0.015117242274521239,1.0,0.18021642331597265,922,train
1968-12-01,0.02370546426083165,1.0,0.22423441021988252,928,train
1969-01-01,0.009965220426201123,1.0,0.17501248782198908,934,train
1969-02-01,0.00739051646588345,1.0,0.11174085075050018,940,train
1969-03-01,0.02054696379332497,1.0,0.17092861591600653,946,train
1969-04-01,0.005117533736576012,1.0,0.2093337263891473,949,train
1969-05-01,0.014021103705323468,1.0,0.19282777626204858,960,train
1969-06-01,-0.014440517555212523,1.0,0.1736053395840667,967,train
1969-07-01,-0.0021752081768039045,1.0,0.11380281807995403,997,train
1969-08-01,0.0283174039305847,1.0,0.10521250033580093,1004,train
1969-09-01,0.007357016002784778,1.0,0.11008833171211146,1010,train
1969-10-01,0.01691770363122151,1.0,0.13982162561575615,1016,train
1969-11-01,0.025082283114840974,1.0,-0.0015247075862979923,1019,train
1969-12-01,-0.003974741069453893,1.0,0.1264204403991213,1025,train
1970-01-01,0.04905115672787337,1.0,0.30796442039204036,1030,train
1970-02-01,0.009488998470145667,1.0,-0.15552603164137252,1032,train
1970-03-01,0.03320206523598128,0.9999999999999999,-0.04726451099872236,1039,train
1970-04-01,0.0381616925746141,1.0,-0.03116034169448398,1044,train
1970-05-01,-0.0001673647256408116,1.0,0.09205938033472773,1047,train
1970-06-01,0.04360015642845,1.0,-0.02227302865703179,1051,train
1970-07-01,0.0384385224988925,1.0,0.14392928977084446,1062,train
1970-08-01,0.01663314401612616,1.0,0.1323882828380881,1060,train
1970-09-01,-0.008097092330233552,1.0,0.0740684153752563,1045,train
1970-10-01,0.06175486285445754,1.0,-0.01821437488675794,1052,train
1970-11-01,0.016074749418823565,1.0,0.2230823011415617,1083,train
1970-12-01,0.05371280506453521,1.0,0.32056381879214063,1089,train
1971-01-01,0.09172314710842285,1.0,0.30435551322049553,1100,train
1971-02-01,-0.010685153425532348,1.0,-0.024159101026896827,1101,train
1971-03-01,0.009482004803950901,1.0,0.08921129601179258,1103,train
1971-04-01,0.012815178496949164,0.9999999999999999,0.24343069973151538,1106,train
1971-05-01,-0.009953872858587518,1.0,0.30374553090426987,1097,train
1971-06-01,0.008619942351475491,0.9999999999999999,0.2998553371553344,1107,train
1971-07-01,-0.0014375074966341585,1.0,0.35420836792468646,1144,train
1971-08-01,0.0436657918610815,1.0,0.3035119283632357,1146,train
1971-09-01,0.01426906937151447,0.9999999999999999,0.32219843325058567,1146,train
