date,factor_return,gross_exposure,net_exposure,n_stocks,split,model
1967-01-01,0.018766646204722643,1.0,0.01391466664552188,430,Training,EN
1967-02-01,0.008300711480521656,0.9999999999999999,0.01333402081686054,430,Training,EN
1967-03-01,0.01633369129087554,1.0000000000000002,0.014077348766433297,431,Training,EN
1967-04-01,0.005838600401526459,0.9999999999999999,0.013938552830877316,436,Training,EN
1967-05-01,0.014204431131897505,1.0,0.014599415199980266,435,Training,EN
1967-06-01,0.007392186850061097,0.9999999999999998,0.015009011670155665,437,Training,EN
1967-07-01,0.007468579619094733,0.9999999999999998,0.014104090526628131,553,Training,EN
1967-08-01,0.01035554550273169,1.0,0.013394973188494953,762,Training,EN
1967-09-01,0.01556814086666094,1.0,0.013538032936205183,767,Training,EN
1967-10-01,0.0036014446811320016,1.0000000000000002,0.014079003557591717,774,Training,EN
1967-11-01,0.0042760940644154056,1.0,0.013911025282592243,776,Training,EN
1967-12-01,0.016985099181649276,0.9999999999999999,0.013216327941875161,778,Training,EN
1968-01-01,0.02550472814028901,1.0000000000000002,0.013314410893294625,780,Training,EN
1968-02-01,0.0014278018224328694,1.0,0.014437119995618305,783,Training,EN
1968-03-01,-0.0022523175005019157,0.9999999999999999,0.012601864783828147,778,Training,EN
1968-04-01,0.012045011295541242,1.0,0.012426544065273567,782,Training,EN
1968-05-01,0.013218188896391026,1.0,0.01312956014267343,791,Training,EN
1968-06-01,0.019354553062232625,1.0,0.014071497207687585,799,Training,EN
1968-07-01,0.013626332443914466,1.0,0.014419761444733187,902,Training,EN
1968-08-01,0.0109794462861479,1.0,0.014384440212705065,903,Training,EN
1968-09-01,0.011571573681459947,0.9999999999999998,0.013800507620872898,907,Training,EN
1968-10-01,0.015430561350489307,1.0000000000000002,0.01339111592829208,917,Training,EN
1968-11-01,0.006699597336472891,1.0,0.01352667110454386,922,Training,EN
1968-12-01,0.020733470940645853,1.0,0.012810135225278857,928,Training,EN
1969-01-01,0.007171314546018235,1.0,0.013432227834901877,934,Training,EN
1969-02-01,0.012864445544720035,1.0,0.012799045724393781,940,Training,EN
1969-03-01,0.007830685702039228,1.0,0.013085719118967377,946,Training,EN
1969-04-01,-0.0009914149045762706,0.9999999999999998,0.012942342380348873,949,Training,EN
1969-05-01,0.009822144476604082,0.9999999999999999,0.012288430420695712,960,Training,EN
1969-06-01,-0.00236707547256624,1.0,0.013263460591259688,967,Training,EN
1969-07-01,0.00473433380563581,0.9999999999999999,0.014337770288235348,997,Training,EN
1969-08-01,0.012888700476053297,1.0,0.014386075656627549,1004,Training,EN
1969-09-01,0.011265894838791425,1.0000000000000002,0.013571708507664154,1010,Training,EN
1969-10-01,0.003910714628991908,1.0,0.014113692183433888,1016,Training,EN
1969-11-01,0.018768460268168762,1.0,0.0125028656664131,1019,Training,EN
1969-12-01,-0.0034375714396091047,1.0,0.01472477723449525,1025,Training,EN
1970-01-01,0.04027454053189466,1.0,0.014849078887241884,1030,Training,EN
1970-02-01,0.0071996870068151255,0.9999999999999999,0.013479124927478717,1032,Training,EN
1970-03-01,0.01762629486038316,1.0,0.012552087921866321,1039,Training,EN
1970-04-01,0.012154092722221184,1.0,0.013725049483385201,1044,Training,EN
1970-05-01,0.004394818662092622,1.0,0.015310346249349653,1047,Training,EN
1970-06-01,0.035745541554635,1.0,0.013223069439401398,1051,Training,EN
1970-07-01,0.025657254593670565,0.9999999999999999,0.015301869568902657,1062,Training,EN
1970-08-01,-0.00048160284680614054,1.0,0.013146540673761187,1060,Training,EN
1970-09-01,-0.021129550021315183,0.9999999999999999,0.011692512362178858,1045,Training,EN
1970-10-01,0.051882149675694725,1.0000000000000002,0.011023177469537552,1052,Training,EN
1970-11-01,0.012301860633209497,0.9999999999999999,0.015332427315153396,1083,Training,EN
1970-12-01,0.018441728496810195,0.9999999999999999,0.013758996904404462,1089,Training,EN
1971-01-01,-0.006426226562317775,1.0,0.012832653762635869,1100,Training,EN
1971-02-01,-0.008603847006614833,0.9999999999999998,0.010932407022364046,1101,Training,EN
1971-03-01,0.0041469230924591,1.0,0.01231454570399619,1103,Training,EN
1971-04-01,0.006948788560052071,0.9999999999999999,0.012942426346043562,1106,Training,EN
1971-05-01,0.008357167689200142,0.9999999999999999,0.013278947764729853,1097,Training,EN
1971-06-01,0.01573591831381156,1.0,0.014230058749806119,1107,Training,EN
1971-07-01,0.015185581342834344,1.0,0.014723933705813874,1144,Training,EN
1971-08-01,0.0159035462377909,0.9999999999999999,0.01469141448588959,1146,Training,EN
1971-09-01,0.016472230857963607,1.0,0.01372825668724541,1146,Training,EN
1971-10-01,0.01041538272472122,1.0,0.01433394189002523,1168,Training,EN
1971-11-01,0.006807068771047757,1.0,0.015114435430885687,1174,Training,EN
1971-12-01,0.008749760811350532,1.0,0.013859296830536737,1178,Training,EN
1972-01-01,-0.0035317705548801167,0.9999999999999999,0.012995569263561962,1182,Training,EN
1972-02-01,0.0038148104313853928,1.0,0.011965519450677396,1187,Training,EN
1972-03-01,0.022057017485013135,1.0,0.013650185704059185,1187,Training,EN
1972-04-01,0.0068333998321180025,1.0,0.014483177710806162,1190,Training,EN
1972-05-01,0.004528901787506906,0.9999999999999999,0.013806850549602758,1197,Training,EN
1972-06-01,0.0070970642977842115,1.0,0.01419720060232657,1204,Training,EN
1972-07-01,0.006340040515392424,1.0,0.014703698342526338,1242,Training,EN
1972-08-01,0.005374195509038503,0.9999999999999999,0.014925443020342637,1237,Training,EN
1972-09-01,0.007460187834295205,0.9999999999999999,0.01371366042845219,1246,Training,EN
1972-10-01,0.013417002987808959,0.9999999999999999,0.014113665315555605,1261,Training,EN
1972-11-01,0.012431381156244037,0.9999999999999999,0.014849478949493384,1268,Training,EN
1972-12-01,0.021369791470203278,1.0,0.013560212362588177,1232,Training,EN
1973-01-01,0.014240939786160792,1.0000000000000002,0.015298341125099217,1237,Training,EN
