date,split,model,factor_return
1978-01-01,training,EN,0.0126044724376112
1978-02-01,training,EN,0.0203621639473081
1978-03-01,training,EN,0.002550086748193
1978-04-01,training,EN,0.0044953198081487
1978-05-01,training,EN,0.0197628181836231
1978-06-01,training,EN,0.011848706982465
1978-07-01,training,EN,0.0123135767503794
1978-08-01,training,EN,0.0174350420745101
1978-09-01,training,EN,0.010667935130964
1978-10-01,training,EN,-0.0144156651715121
1978-11-01,training,EN,0.0455279322811365
1978-12-01,training,EN,0.0141744700487476
1979-01-01,training,EN,0.0296256230443104
1979-02-01,training,EN,0.0035847404802479
1979-03-01,training,EN,0.0061641231746757
1979-04-01,training,EN,0.0140778221508121
1979-05-01,training,EN,0.0052653582328056
1979-06-01,training,EN,-0.0010261108449042
1979-07-01,training,EN,0.0105027059729644
1979-08-01,training,EN,0.0065969631504978
1979-09-01,training,EN,0.0081170414332513
1979-10-01,training,EN,-0.0010897664347776
1979-11-01,training,EN,0.0134607299309337
1979-12-01,training,EN,0.0008706191920491
1980-01-01,training,EN,0.0060771565443043
1980-02-01,training,EN,0.0013147430947116
1980-03-01,training,EN,0.017264485620799
1980-04-01,training,EN,0.0332614828886469
1980-05-01,training,EN,0.0094545417703305
1980-06-01,training,EN,0.0182437945342891
1980-07-01,training,EN,0.0102828333429627
1980-08-01,training,EN,0.0113759394224572
1980-09-01,training,EN,0.0126686087432704
1980-10-01,training,EN,0.0144077841821043
1980-11-01,training,EN,-0.013659749127304
1980-12-01,training,EN,0.016450908064731
1981-01-01,training,EN,0.0062715407176378
1981-02-01,training,EN,-0.0037638391931285
1981-03-01,training,EN,0.0087209641876395
1981-04-01,training,EN,0.0080013639765947
1981-05-01,training,EN,-0.007303784640749
1981-06-01,training,EN,0.0166947124924302
1981-07-01,training,EN,0.002547318580504
1981-08-01,training,EN,0.0092039678299513
1981-09-01,training,EN,0.0205718141504901
1981-10-01,training,EN,0.0233981262898134
1981-11-01,training,EN,0.0150617871245074
1981-12-01,training,EN,0.0137844900827188
1982-01-01,training,EN,0.0167537143488173
1982-02-01,training,EN,0.0092698005278248
1982-03-01,training,EN,0.010364789511575
1982-04-01,training,EN,0.0084895041400056
1982-05-01,training,EN,0.0181164508225311
1982-06-01,training,EN,0.0186967161580911
1982-07-01,training,EN,0.0094087871131238
1982-08-01,training,EN,-0.0035004073145369
1982-09-01,training,EN,0.0334769128981917
1982-10-01,training,EN,0.0106014202240354
1982-11-01,training,EN,0.0060711801947983
1982-12-01,training,EN,0.0114271367846412
1983-01-01,training,EN,-0.0060828477204414
