date,gan_ensemble_sdf
1967-01-01,0.03486496
1967-02-01,0.0127024315
1967-03-01,0.019322487
1967-04-01,0.011264661
1967-05-01,0.0022150625
1967-06-01,0.014964698
1967-07-01,0.03854953
1967-08-01,0.009612509
1967-09-01,0.02116016
1967-10-01,0.0027083082
1967-11-01,0.0020794375
1967-12-01,0.028540714
1968-01-01,0.029623905
1968-02-01,-0.0009540568
1968-03-01,0.0033216528
1968-04-01,0.04330495
1968-05-01,0.034593645
1968-06-01,0.022938784
1968-07-01,0.020826258
1968-08-01,0.016374733
1968-09-01,0.022856988
1968-10-01,0.015992727
1968-11-01,0.012903357
1968-12-01,0.012486784
1969-01-01,0.00426651
1969-02-01,0.01747913
1969-03-01,0.010861236
1969-04-01,0.00012297026
1969-05-01,0.011906052
1969-06-01,0.036630835
1969-07-01,0.0405347
1969-08-01,0.011055293
1969-09-01,0.011162439
1969-10-01,0.00033892837
1969-11-01,0.022683198
1969-12-01,0.023766283
1970-01-01,0.034029152
1970-02-01,0.006756752
1970-03-01,0.017698914
1970-04-01,0.030956145
1970-05-01,0.022919195
1970-06-01,0.030099519
1970-07-01,0.042434618
1970-08-01,0.023134287
1970-09-01,0.025286183
1970-10-01,0.025820462
1970-11-01,0.013748329
1970-12-01,0.030616768
1971-01-01,0.023260012
1971-02-01,0.012680096
1971-03-01,0.024425166
1971-04-01,0.019434558
1971-05-01,0.0024629678
1971-06-01,0.015479972
1971-07-01,0.020363815
1971-08-01,0.019344501
1971-09-01,0.013941733
1971-10-01,0.008116318
1971-11-01,0.002368489
1971-12-01,0.026504353
1972-01-01,0.021499084
1972-02-01,0.01752139
1972-03-01,0.01543376
1972-04-01,0.010815807
1972-05-01,0.008681079
1972-06-01,0.009937816
1972-07-01,0.019526476
1972-08-01,0.009074163
1972-09-01,0.013535597
1972-10-01,0.015814513
1972-11-01,0.013407952
1972-12-01,0.025730161
1973-01-01,0.026157023
1973-02-01,0.015313536
1973-03-01,0.014277145
1973-04-01,0.023866706
1973-05-01,0.030533245
1973-06-01,0.024549477
1973-07-01,0.01978985
1973-08-01,0.023559036
1973-09-01,0.016821409
1973-10-01,0.022442318
1973-11-01,0.029090673
1973-12-01,0.029168338
1974-01-01,0.019778946
1974-02-01,0.011504523
1974-03-01,0.012069568
1974-04-01,0.023801915
1974-05-01,0.02383142
1974-06-01,0.020825539
1974-07-01,0.024168275
1974-08-01,0.023474796
1974-09-01,0.024029184
1974-10-01,0.023212522
1974-11-01,0.01944916
1974-12-01,0.018590381
1975-01-01,0.018670863
1975-02-01,0.017526528
1975-03-01,0.019797489
1975-04-01,0.021411665
1975-05-01,0.022020333
1975-06-01,0.020316623
1975-07-01,0.014813832
1975-08-01,0.0184714
1975-09-01,0.016516378
1975-10-01,0.012201904
1975-11-01,0.01259706
1975-12-01,0.010306841
1976-01-01,0.020930104
1976-02-01,0.02046901
1976-03-01,0.014782812
1976-04-01,0.009046454
1976-05-01,0.0032481707
1976-06-01,0.011812055
