split,months,mean_monthly,volatility_monthly,monthly_sharpe,annualized_sharpe,minimum_month,maximum_month,positive_month_fraction
train,240,0.022499986172849547,0.0341764248991071,0.658348151957737,2.2805848965197524,-0.08864403112682853,0.31454384709543776,0.875
validation,60,0.01620949490028099,0.01918691510051587,0.8448202754514286,2.926543280692416,-0.05461326031670897,0.08248934998401015,0.8833333333333333
test,300,0.015039330559936559,0.026451122820978133,0.568570591945118,1.9695863058769125,-0.07580885479335706,0.27082207263602553,0.8
