split,months,mean_monthly,volatility_monthly,monthly_sharpe,annualized_sharpe,positive_month_fraction
test,275,0.01187518936210957,0.01911749742661512,0.6211686130830646,2.1517911958539226,0.7890909090909091
train,220,0.017302983836608977,0.019989992826055368,0.8655822934591508,2.9984650208064862,0.8636363636363636
validation,55,0.012290562373741645,0.013948104637825092,0.8811636199237816,3.052440318978602,0.8727272727272727
