member,seed,best_epoch,best_validation_weighted_mse,final_validation_mse
1,42,61,0.027510809458756832,0.027593189125119048
2,43,98,0.027406290267804816,0.027488462383799577
3,44,37,0.02751513820087252,0.02759763366435529
4,45,85,0.027510691525738536,0.027593032718115165
5,46,100,0.027433642213550685,0.027515534995922977
6,47,61,0.027423326249347645,0.02750580243372997
7,48,96,0.027398042836043066,0.027480075545274426
8,49,100,0.02742836507176585,0.027510695499417655
9,50,99,0.02738744687472537,0.02746852186178282
