split,sample,months,mean_return,volatility,monthly_sharpe,positive_fraction
test,January,25,0.049844883736033456,0.05628011648613811,0.8856570818987259,0.92
test,February-December,275,0.01187518936210957,0.01911749742661512,0.6211686130830646,0.7890909090909091
train,January,20,0.07966701187149579,0.07958544483391881,1.00102489893406,1.0
train,February-December,220,0.017302983836608977,0.019989992826055368,0.8655822934591508,0.8636363636363636
validation,January,5,0.0593177526922138,0.01641755230430333,3.613069207439989,1.0
validation,February-December,55,0.012290562373741645,0.013948104637825092,0.8811636199237816,0.8727272727272727
