split,mean_pairwise_corr,median_pairwise_corr,minimum_pairwise_corr,maximum_pairwise_corr
train,0.6224909860130077,0.6124100351983489,0.5092264118063035,0.7586002679711683
validation,0.259417138606477,0.26870595092528937,-0.4039000563550031,0.6706266491850896
test,0.40891196766867893,0.39221853105918925,0.13795444586556901,0.6989280967867536
