seed,epoch,train_weighted_mse,validation_weighted_mse,validation_mse
42,1,0.12008202069285145,0.04293167493725594,0.04301841056584921
42,2,0.028284294130762406,0.03207096807849326,0.03215328092645137
42,3,0.020871814621521576,0.02950846649393068,0.0295916433801277
42,4,0.018623214577214744,0.02856092771272842,0.02864574288723359
42,5,0.01761199786043988,0.02809933432901204,0.028184977176443467
42,6,0.017037691992944005,0.027838755206197253,0.027924429863700122
42,7,0.016673808272500586,0.027689567571313165,0.027774787845164343
42,8,0.01649753025086877,0.027604049421542876,0.027688521344258338
42,9,0.016380523265861223,0.027561767952291656,0.02764552122303682
42,10,0.016311478677344705,0.02753948195990799,0.0276227690116511
42,11,0.016276132909436296,0.027527629114315298,0.02761057777984637
42,12,0.016252960498384587,0.027521914673666003,0.027604673682429755
42,13,0.01622775497700241,0.02751840727758595,0.02760099963313053
42,14,0.01622099757181648,0.02751682283045617,0.027599393712167967
42,15,0.016212323795657808,0.027515673632938692,0.027598224772574436
42,16,0.016201424712425836,0.027514822558315482,0.027597287369608547
42,17,0.016193063543125483,0.027514185327483887,0.02759662531685802
42,18,0.01619350977926629,0.02751377285054692,0.02759621621686299
42,19,0.016181384579071846,0.027513400723673483,0.027595777041928296
42,20,0.016188324534549194,0.02751322792265035,0.027595584758580836
42,21,0.01617564804394892,0.02751294527016671,0.027595319163960106
42,22,0.016181055853165153,0.027512770708518482,0.027595093832814263
42,23,0.01617859433097581,0.02751256820777048,0.02759492198426266
42,24,0.01617374774748337,0.027512466957396474,0.02759480803429932
42,25,0.016170496456414975,0.027512387238601436,0.02759473483847687
42,26,0.016171826547181564,0.02751222985026351,0.027594592054670224
42,27,0.016167896498291336,0.0275121927328231,0.02759450356161359
42,28,0.01616446643484295,0.027512063687662847,0.02759439402764427
42,29,0.016165470230560197,0.027511938943045846,0.027594231963550007
42,30,0.01615989517445792,0.02751185359602306,0.02759411789813584
42,31,0.01616163871339073,0.027511663246474444,0.0275939909599548
42,32,0.016156360908116767,0.027511635422825486,0.02759390907645784
42,33,0.016160625786624756,0.02751152932351681,0.02759382814543018
42,34,0.016158314373057956,0.027511379526070665,0.027593718409421916
42,35,0.016157020247398617,0.027511410928695215,0.027593686718170713
42,36,0.016152076888089464,0.027511342783845438,0.027593640970781683
42,37,0.016153686772252308,0.0275113923411123,0.027593664176397317
42,38,0.01615469510209699,0.027511335048640125,0.027593639441058266
42,39,0.016150835435198643,0.027511298825943612,0.02759359617586195
42,40,0.016150418402187557,0.02751123708861465,0.027593538392724513
42,41,0.016151686094150648,0.027511225716708335,0.0275934941750589
42,42,0.016154603583376465,0.027511256513216047,0.027593486959382397
42,43,0.016151552094645746,0.02751111064109797,0.027593385333794525
42,44,0.016145607218930772,0.02751101738569364,0.027593350381057546
42,45,0.016147766724215758,0.02751105026031621,0.027593347032983648
42,46,0.016152038364865978,0.027510999894893567,0.02759335315187732
42,47,0.016143915777592943,0.02751112016579108,0.027593356875166397
42,48,0.01614526324364577,0.027511136155730417,0.02759335860692876
42,49,0.016144284572011506,0.027511027025837572,0.027593289913688448
42,50,0.016144053101415146,0.027511181527904858,0.02759339188562879
42,51,0.016151244465657605,0.0275109598045944,0.027593269536618
42,52,0.016141818281561925,0.02751090251212222,0.027593259319220072
42,53,0.016143400344720248,0.02751095668742211,0.02759324384880965
42,54,0.016143645751275675,0.027511121349162043,0.027593330841005573
42,55,0.016142549995749333,0.027511018771103544,0.027593258511064304
42,56,0.01614203282509881,0.02751087968172147,0.027593191030057647
42,57,0.01614437802471374,0.0275108567647326,0.027593267314189637
42,58,0.01614568873156636,0.02751091682802459,0.027593181043561364
42,59,0.01614463986709958,0.027510856302929296,0.027593171403417556
42,60,0.01614571912137114,0.027511406570426552,0.027593525866310104
42,61,0.016141935746645266,0.027510809458756832,0.027593189125119048
42,62,0.016142606670209537,0.027510945921632626,0.027593190452803527
42,63,0.016141087348836156,0.027510899510400758,0.027593175761686167
42,64,0.016142260260418616,0.027510876622274593,0.027593167853304717
42,65,0.016143565112745038,0.027511725474469412,0.027593788661248352
42,66,0.01613983530217124,0.02751086092096232,0.027593176569841935
42,67,0.016140016478659515,0.02751105499380006,0.027593270719988947
42,68,0.016141561963442925,0.027511120569868968,0.02759330610566652
42,69,0.016139827858462574,0.02751096641415416,0.02759320967536573
42,70,0.016139649378923013,0.027510892785390168,0.02759319134754741
42,71,0.016140715561333507,0.02751086372064484,0.02759326861301141
42,72,0.016140664542009873,0.027511173388621656,0.027593354075483915
42,73,0.016141243373113692,0.02751106122814464,0.027593280100368402
42,74,0.016139881022292475,0.027510870041577536,0.027593263850664917
42,75,0.016140962471609822,0.027511233451913645,0.027593405884041206
42,76,0.016141225455335476,0.027511202135877218,0.027593384439050638
43,1,0.03192754697219261,0.028746718368009298,0.028821930917821564
43,2,0.017625261208324344,0.027915473463142854,0.02799439563185656
43,3,0.01682381068387127,0.027720702292220723,0.027801170147948032
43,4,0.016536310668647275,0.027635415592492944,0.027716615320959422
43,5,0.016393045884366884,0.027586485800864598,0.027668092147766075
43,6,0.016313544566336585,0.027560722227576575,0.02764254530487064
43,7,0.016261785972095835,0.02754484136040603,0.02762676883431309
43,8,0.01623315262455218,0.027534588374628324,0.027616627691653763
43,9,0.016205687482619035,0.027528609407275,0.0276106196884955
43,10,0.016195546429759358,0.027523435074450313,0.02760565435059196
43,11,0.016177573809950878,0.0275195251879297,0.02760171987309638
43,12,0.016166977801192525,0.02751596540603755,0.02759831349653272
43,13,0.016157922798817673,0.027513895747950712,0.027596150092403515
43,14,0.016153242893500595,0.02751166414121834,0.02759391600350728
43,15,0.016145294196976606,0.02750969786934578,0.027592047980311413
43,16,0.01614279428061808,0.02750768691800373,0.027590081968228628
43,17,0.016137924124750066,0.027506214948840736,0.027588608815713723
43,18,0.016135087409737573,0.027504249860339135,0.027586562045779514
43,19,0.016130260864940182,0.027501796241669242,0.027584087819169253
43,20,0.016122147108438352,0.027500378996197557,0.02758296301065322
43,21,0.01611036681741791,0.027498101151409556,0.027580477787351967
43,22,0.01611544319253989,0.027496397039499097,0.027578760427481485
43,23,0.016107999845164103,0.027493133360111766,0.02757571974140301
43,24,0.01610087878341815,0.02749096946528858,0.02757323922272284
43,25,0.01609936091226703,0.02748764401970958,0.027570163872534442
43,26,0.016095266675267617,0.027484537353444992,0.027567174215720202
43,27,0.01608738804812461,0.027482593854247766,0.027564973809601885
43,28,0.01608850960719352,0.02748022835342047,0.02756274024023436
43,29,0.016083938576102463,0.027479006335294782,0.027561957541372698
43,30,0.0160751011949588,0.02747436466371645,0.02755682531930299
43,31,0.016072215099661745,0.027470793913995876,0.027553420241561103
43,32,0.0160674528523494,0.027470115929022865,0.027553083904447932
43,33,0.016062673570704646,0.02746886761697166,0.027551874787967636
43,34,0.016063564965028167,0.027464980099048495,0.027547408515113767
43,35,0.016061186373747174,0.027462488497056996,0.02754529567844549
43,36,0.016056280469397135,0.027459857315017416,0.027542534556537462
43,37,0.01605591488819765,0.027458978907411256,0.027541730643586882
43,38,0.016051947696609635,0.027459213994154772,0.027542332748497017
43,39,0.016048695651968134,0.02745580320155299,0.027538591622269022
43,40,0.01604720347416472,0.027453160041490256,0.02753576752193647
43,41,0.0160427616480492,0.027452239465470065,0.02753500023575982
43,42,0.01604383331010661,0.027450482592532337,0.027533124217594383
43,43,0.016041492956769623,0.027451133186796987,0.027534011370589105
43,44,0.01603703963075681,0.027450248573708955,0.027532918253324275
43,45,0.016037628367437388,0.027449681046313283,0.027532517869866463
43,46,0.01603110817170367,0.02744823075304279,0.027531037992341054
43,47,0.016024731131545285,0.027447398410316022,0.027529793778810246
43,48,0.016027832634516976,0.02744586597378315,0.027528254270934215
43,49,0.01603107917182639,0.027444930418018345,0.027527636609025536
43,50,0.0160267613093795,0.02744539643527566,0.027528340599287902
43,51,0.016032816122661324,0.027443134667015114,0.027525743504138143
43,52,0.016021504878518212,0.027440962834947666,0.02752348834546652
43,53,0.01602222187141303,0.027440584733494006,0.027523028245069966
43,54,0.01601658950291399,0.02744247443260653,0.027524905302292818
43,55,0.0160110333114311,0.027441904105528336,0.027524513260157042
43,56,0.016017664113526738,0.02744134569874788,0.027523860241433495
43,57,0.016018879743332673,0.027439394117992868,0.02752173686987753
43,58,0.016006094759184266,0.027437815039326477,0.027520520277956373
43,59,0.016010835790363977,0.027434247753130667,0.027516621243863778
43,60,0.01600508496893731,0.02743368218839903,0.02751586091359928
43,61,0.016004815679537196,0.02743294907565682,0.02751535532557805
43,62,0.01599582145057048,0.02743176749418278,0.027513742795055807
43,63,0.015998951792680603,0.027431415398027573,0.027513491804964315
43,64,0.016002099009833442,0.02743229582602318,0.027514365363624508
43,65,0.015993550804885088,0.027430000403846987,0.027512326213444686
43,66,0.015994761523691593,0.027426140969337136,0.027508484616137058
43,67,0.015985582058593302,0.02742621156751696,0.027508383914155776
43,68,0.01598601797382103,0.027427723424940178,0.027509825750634657
43,69,0.015987364707372262,0.027426292498545665,0.027508460082836944
43,70,0.015986345119961737,0.027426062578226593,0.027508545141231567
43,71,0.01598708192635526,0.02742732829448975,0.027509943654788722
43,72,0.01598149826672517,0.027426084946824043,0.027507838351286718
43,73,0.015979872384097628,0.027421263778074696,0.02750329308120649
43,74,0.015977761883809574,0.02741970989655098,0.02750199255653625
43,75,0.015974484752061632,0.02742022720283754,0.027502578296292077
43,76,0.015971649783165173,0.027419098642155134,0.02750156963130504
43,77,0.015971511730514993,0.027418638859242398,0.027500853576431564
43,78,0.015974389539673246,0.027418531692013588,0.02750119834145489
43,79,0.01597097524413671,0.02741621300649605,0.02749833143772932
43,80,0.015962395717962385,0.027414084670527125,0.027496243798203396
43,81,0.015964835436301082,0.02741319786387341,0.02749512467564045
43,82,0.015963846344291717,0.0274123513206951,0.027494237378332197
43,83,0.015963388520901886,0.027411025685453488,0.027492836440307734
43,84,0.015959358336266733,0.027411321643644772,0.02749363605271512
