split,months,mean_monthly,volatility,monthly_sharpe,annualized_sharpe,minimum,maximum,positive_fraction
train,240,0.0170872587824609,0.007700854867172281,2.218878173552083,7.686419464795682,-0.0009540567989461124,0.04330494999885559,0.9916666666666667
validation,60,0.009047608474308315,0.007696888439396615,1.1754891012838413,4.072013694334182,-0.005755710881203413,0.03156955540180206,0.85
test,300,0.006996822491467659,0.011453923061047859,0.6108669016000494,2.116105020466927,-0.0518447607755661,0.0671999454498291,0.8233333333333334
