feature,train_mean,train_std,safe_train_std,zero_std_feature
rpi,0.002826233220602776,0.004251862589626497,0.004251862589626497,False
w875rx1,0.0025842732269300023,0.003959827676597294,0.003959827676597294,False
dpcera3m086sbea,0.0028623366305309743,0.006094153762555216,0.006094153762555216,False
cmrmtsplx,0.002335265146689203,0.011041480268918186,0.011041480268918186,False
retailx,0.006513129442888969,0.013621402571520577,0.013621402571520577,False
indpro,0.0019457649330381673,0.008715085354957195,0.008715085354957195,False
ipfpnss,0.002301087377138448,0.008271824318417765,0.008271824318417765,False
ipfinal,0.002277978548199745,0.00876533928881219,0.00876533928881219,False
ipcongd,0.0019073307320892235,0.009636270875939486,0.009636270875939486,False
ipdcongd,0.0020994897350462356,0.02124201247369571,0.02124201247369571,False
ipncongd,0.001830371403588227,0.007851844439188817,0.007851844439188817,False
ipbuseq,0.003395452453169658,0.01252166246765516,0.01252166246765516,False
ipmat,0.0015802374754038664,0.010819183169242661,0.010819183169242661,False
ipdmat,0.0015151517231241718,0.01666533244729013,0.01666533244729013,False
ipnmat,0.002401179985397197,0.011022375525019584,0.011022375525019584,False
ipmansics,0.002112834104481016,0.009838491813793253,0.009838491813793253,False
ipb51222s,0.0028127076540150125,0.026863883270592658,0.026863883270592658,False
ipfuels,0.0014264921908574784,0.021613060071035643,0.021613060071035643,False
cumfns,-0.047084166666666684,0.7819332751260207,0.7819332751260207,False
hwi,5.516666666666667,107.23105763827111,107.23105763827111,False
hwiuratio,-0.002534938495833335,0.035370008879375324,0.035370008879375324,False
clf16ov,0.0018221479452481982,0.00285589450895524,0.00285589450895524,False
ce16ov,0.0016787027534258367,0.0031083825362481026,0.0031083825362481026,False
unrate,0.013750000000000005,0.20294318786300758,0.20294318786300758,False
uempmean,0.022083333333333337,0.4651745117575648,0.4651745117575648,False
uemplt5,0.003341959951322916,0.050685624185594844,0.050685624185594844,False
uemp5to14,0.005085777520785797,0.05718953154129274,0.05718953154129274,False
uemp15ov,0.006488486521068208,0.054804723430188426,0.054804723430188426,False
uemp15t26,0.005700575437846715,0.07580509426933782,0.07580509426933782,False
uemp27ov,0.007342329164382348,0.08354482020912983,0.08354482020912983,False
claimsx,0.002406109191014774,0.057940008405869804,0.057940008405869804,False
payems,0.0018064415785113165,0.0025712807512519443,0.0025712807512519443,False
