characteristic,LS_importance,theta_pos,theta_neg,EN_importance,EN_importance_share
st_rev,268.15715629977683,-93.61329006961023,-154.92443798920897,248.5377280588192,0.1484970365718945
suv,260.1139875634944,-46.88744983851327,72.36878511665347,119.25623495516675,0.07125355825000847
r12_2,223.8697084045272,29.701168528739135,45.18353186568715,74.88470039442629,0.04474232616512361
lme,336.31314072951045,-39.82967978331847,-33.89810132206442,73.72778110538289,0.044051086700927854
noa,430.1357488091359,-35.264342686579866,-36.83628445674269,72.10062714332255,0.04307889007187123
d2p,157.1856238591672,33.24094364021363,25.350458199979194,58.59140184019282,0.03500735928431186
at,226.8721061796796,-20.34541314872165,-31.924827425810644,52.270240574532295,0.031230573671217787
cf2p,213.4761463468417,23.284300855538604,26.099124082198696,49.3834249377373,0.029505750761868548
pcm,195.96709283499519,25.38221014071955,22.798605127254056,48.18081526797361,0.02878721207759141
r36_13,429.8197570323864,23.97021940421986,23.732136779709723,47.70235618392958,0.028501340967976106
cf,79.65409991582577,29.501639451600028,18.003028305064923,47.50466775666495,0.02838322551788875
c,340.04570508009874,10.745877985691454,34.81469362145793,45.560571607149384,0.02722166135912421
pm,711.3586326144402,24.62463622106542,20.252885062524058,44.87752128358947,0.02681355048730472
ni,104.39545341029029,-11.898103421795538,-30.788003324821844,42.686106746617384,0.02550421782709825
r12_7,225.30115138387262,28.380121439105313,13.14603900358648,41.52616044269179,0.024811169773344785
resid_var,2011.8274568204888,-23.270421431108076,-17.895889358708622,41.1663107898167,0.024596165767793044
dpi2a,570.8782932870876,-7.932691475770989,-30.561591090841155,38.49428256661214,0.02299967466005894
lturnover,255.045503768194,13.368205443697796,23.02024885381662,36.388454297514414,0.02174147832933394
investment,440.8168274885831,-10.572454906044829,-23.749712972259818,34.32216787830465,0.02050690757680503
variance,876.2401993951669,10.690424930506643,-18.915277235502256,29.605702166008896,0.017688900078148266
ato,459.3474653908495,-16.404362311662517,-11.45892567053593,27.863287982198447,0.016647837440304188
d2a,269.84922528280197,4.368803945009767,22.634794420377798,27.003598365387564,0.016134187615526555
lt_rev,67.27473804461962,-10.159489207601267,15.456097134526347,25.615586342127614,0.015304874199852768
beta,301.7676450186011,-3.0539658790251627,-21.134431105379637,24.1883969844048,0.014452152997707447
rel2high,205.3810980070407,13.825697850147373,-8.989994316764207,22.81569216691158,0.013631985375359725
oa,304.1044133473048,-12.341703516717317,10.14406291059737,22.485766427314687,0.013434860395576637
cto,228.83234525645503,3.6386278883285987,-17.79139853593068,21.430026424259278,0.012804073822171457
idiovol,611.7304246861532,-11.823451509687196,-8.332450085787366,20.15590159547456,0.012042806055000004
e2p,476.36741010077793,0.19899922356448094,19.205380506846012,19.404379730410493,0.011593784609633827
roe,375.61670661035,8.618345352431326,10.205711679953048,18.824057032384374,0.011247051734969862
lev,355.8797027391909,-9.77047310170513,-8.584204331606172,18.354677433311302,0.010966605462148218
r2_1,60.96521714967509,-14.147049600278626,-3.056678828158367,17.203728428436992,0.010278933140508754
ol,710.0775116126629,4.349279290656879,-12.38258771993714,16.73186701059402,0.00999700402347059
op,304.6244357142147,0.23943571809776823,15.949443662727662,16.18887938082543,0.009672578212767315
beme,422.75239847939076,0.8480664691627582,13.989582667670106,14.837649136832864,0.00886524128035709
rna,265.35449935875454,7.167981639795467,5.799451044755514,12.967432684550982,0.007747818975578736
ac,128.70931743199833,2.875448266698553,9.563166067114938,12.438614333813492,0.0074318590664627674
mktbeta,162.90929132032073,10.657784059978574,1.5343860271071939,12.192170087085769,0.0072846128491375695
q,343.7321919662245,0.7689641935955623,-11.406167642996355,12.175131836591918,0.007274432786229344
roa,881.3859460780557,6.687606141112892,4.749408204879993,11.437014345992885,0.006833420225070421
spread,206.78859851360534,-9.336266238353295,-1.9032471184607627,11.239513356814058,0.0067154167660296565
fc2y,1056.1530834586686,10.366299420232224,-0.4077063696775156,10.77400578990974,0.006437283966124426
s2p,178.48434726493682,9.255160940540879,0.0,9.255160940540879,0.005529800177223033
a2me,439.40291395839034,8.714052740166698,0.29519568130167906,9.009248421468378,0.005382871658066562
prof,167.16160693000992,6.175081207450732,2.3057397335697343,8.480820941020466,0.0050671452872553795
sga2s,963.152819945563,2.789498197078058,1.0587727239385138,3.8482709210165718,0.0022992759777763576
