model,sample,months,mean_monthly,volatility_monthly,monthly_sharpe,annualized_sharpe,minimum_month,maximum_month,positive_month_fraction
LS,Training,240,0.006486973453909634,0.00320374309621813,2.024810747643032,7.014150181258511,-0.0017399081138772484,0.014010855201893819,0.975
LS,Validation,60,0.0038530922696487216,0.0050489432205705195,0.7631482671364505,2.6436231447769565,-0.012092716492882556,0.012706629735169048,0.8166666666666667
LS,Test,300,0.0034703687637583297,0.008553728755387725,0.4057141467775037,1.4054350311361865,-0.05335398958194785,0.03986664934597131,0.7333333333333333
EN,Training,240,0.01163073580699433,0.010356382772956559,1.1230500129220278,3.890359363643672,-0.024541870546314487,0.05409112327229213,0.8958333333333334
EN,Validation,60,0.009537170261480921,0.00926700497555146,1.0291534629194892,3.5650921731240155,-0.00895932793268341,0.03878859800820994,0.8666666666666667
EN,Test,300,0.006000803528288182,0.014606820540614815,0.4108220205487376,1.4231292249170377,-0.08845131153774306,0.06445766953099674,0.7566666666666667
