member,seed,stage1_initial_loss,stage1_final_loss,stage2_initial_loss,stage2_best_loss,stage3_initial_loss,stage3_final_loss,train_monthly_sharpe,validation_monthly_sharpe,test_monthly_sharpe,checkpoint
1,42,0.2805982828140259,4.93017396365758e-05,1.5209166122076567e-05,0.00782618299126625,0.007838903926312923,6.063390173949301e-05,1.8386211941035662,0.9066738646648386,0.3211212168183926,gan_member_01_seed_42.pt
2,43,0.02610643208026886,3.224607280571945e-05,9.870275789580774e-06,0.004088242072612047,0.004163290839642286,3.6968154745409265e-05,2.0314287789721615,0.6859369318036854,0.38428643543540975,gan_member_02_seed_43.pt
3,44,0.3050709366798401,6.013076927047223e-05,2.0378058252390474e-05,0.00840186420828104,0.00955740176141262,0.0001264558086404577,1.740929410538423,0.38133122557999305,0.34190923397482814,gan_member_03_seed_44.pt
4,45,0.12666456401348114,4.902362707071006e-05,1.8042434021481313e-05,0.009601098485291004,0.009021365083754063,7.554217881988734e-05,1.6900651326539304,0.4132709978252729,0.23886204329073474,gan_member_04_seed_45.pt
5,46,0.24788381159305573,5.7120880228467286e-05,1.7456350178690627e-05,0.007692424580454826,0.00817717332392931,4.890409763902426e-05,1.9712511203940575,0.9085322322262628,0.5132013457337782,gan_member_05_seed_46.pt
6,47,0.1274513304233551,4.6216417104005814e-05,1.5031085240480024e-05,0.004859751556068659,0.004911509342491627,5.470672113006003e-05,2.134442602874337,0.9541539069816221,0.5583701661447729,gan_member_06_seed_47.pt
7,48,0.003939624410122633,2.3563845388707705e-05,8.039551175897941e-06,0.003214072436094284,0.0028568506240844727,5.200038867769763e-05,1.558523682721464,0.6988203271248778,0.4288398343778935,gan_member_07_seed_48.pt
8,49,0.00017475949425715953,1.9416280338191427e-05,8.111125680443365e-06,0.0038373079150915146,0.0034971211571246386,0.00014040742826182395,1.5807274075429003,0.5400993190666413,0.5695793652846334,gan_member_08_seed_49.pt
9,50,0.2032463550567627,4.5740547648165375e-05,1.2008167686872184e-05,0.0033618034794926643,0.0034570363350212574,8.889323362382129e-05,2.0052861531326815,0.731261451715799,0.4963294034411899,gan_member_09_seed_50.pt
