sample,mean_abs_moment,max_abs_moment,rmse_moment,largest_error_factor,largest_error_moment
Training,6.148801212052121e-17,2.782785576046128e-16,7.834865503049463e-17,variance__pos,-2.782785576046128e-16
Validation,0.0006723046908549426,0.0011336555891039936,0.0006901797404667053,r12_2__pos,0.0011336555891039936
Test,0.00335181267629871,0.0056198092180189795,0.003492812489266375,spread__pos,0.0056198092180189795
